PARTAILLE,IDAIRE,POPULATION,JOBS,STOCKFDI,FLUXFDI
187,192,31961,14542.43,2400,0
188,194,31840,13208.67,2034,0
189,190,31499,15244.91,198,0
190,193,31447,10150.23,802,0
191,195,31180,16154.15,966,0
192,185,31075,11698.9,1320,0
193,191,30970,16081.74,403,0
194,189,30686,12913.56,1299,0
195,208,30598,11627.82,947,0
196,196,30577,13990.57,1274,0
197,198,30213,9413.47,1181,0
198,197,30129,12392.53,529,0
199,187,30013,14441.86,1110,0
200,200,29977,10869.52,1243,72
201,204,28943,15437.25,1481,0
202,202,28793,11117.88,173,25
203,201,28687,13821.5,498,89
204,209,28432,10290.22,1210,0
205,203,28214,10630.45,896,128
206,206,27872,12590.57,491,0
207,212,27782,12689.26,148,94
208,215,27751,11806.13,1268,0
209,216,27600,10533.49,402,0
210,207,27529,10207.74,508,230
211,217,27139,10846.6,335,0
212,213,26669,10444.27,411,0
213,214,26610,12827.64,1594,0
214,226,26567,12607.43,607,0
215,220,26268,12630.46,420,0
216,211,26040,12064.54,323,0
217,205,25928,12788.57,761,15
218,210,25923,9589.13,500,45
219,223,25593,11294.09,1077,0
220,219,25538,9032.25,206,0
221,218,25298,11837.57,141,0
222,241,25253,8659.42,184,0
223,222,25152,10810.27,408,0
224,227,25150,10963.9,696,0
225,228,24944,9583.99,379,0
226,221,24648,9298.87,853,0
227,230,24393,10548.34,578,0
228,229,24132,11128.88,1284,0
229,225,24025,10096.67,1201,60
230,239,23890,11460.83,432,0
231,224,23672,14538.75,3282,41
232,237,23299,11237.73,1268,54
233,235,23211,12397.89,313,0
234,232,23145,9710.73,1889,0
235,244,23033,11085.99,411,150
236,236,22902,5867.23,7,0
237,245,22870,6459.84,45,0
238,233,22686,7609.79,817,0
239,234,22559,11020.24,1797,0
240,240,22252,11552.6,212,0
241,249,21963,7874.49,374,0
242,242,21825,10250.22,205,0
243,243,21710,11548.03,991,0
244,238,21353,10069.31,944,50
245,247,21173,11997.35,1194,0
246,248,21111,8539.29,111,0
247,252,20715,9807.11,84,0
248,231,20582,10538.71,266,0
249,250,20201,7941.12,439,0
250,255,20180,9113.5,67,0
251,246,20134,8130.12,419,0
252,251,19826,11656.06,2711,305
253,254,19726,9455.66,230,0
254,253,19725,7948.94,763,0
255,258,19520,9514.51,258,0
256,257,19332,12339.26,1281,0
257,262,19099,8940.42,89,0
258,260,18962,9551.17,459,7
259,268,18892,7391.6,289,0
260,261,18872,10079.21,506,0
261,256,18846,7189.87,17,0
262,270,18747,7743.04,70,0
263,279,18511,12879.48,2239,0
264,265,18406,9067.37,478,0
265,273,18392,6761.15,260,0
266,259,18384,6513.85,282,0
267,267,18222,7366.11,407,0
268,272,17870,7711.44,365,0
269,271,17838,9229.57,70,0
270,266,17719,8679.23,409,130
271,285,17674,6678.02,100,0
272,264,17510,7736.89,222,0
273,263,17292,8699.75,594,0
274,274,17258,10565.2,449,0
275,281,17189,6381.37,342,15
276,280,17158,6104.27,1057,0
277,276,17103,5559.11,784,0
278,269,17057,8267.79,471,0
279,277,16989,7754.53,562,0
280,282,16926,5938.69,34,0
281,289,16687,6407,364,0
282,275,16591,10410.08,233,0
283,286,16570,7018.85,233,0
284,278,16495,11016.42,2748,0
285,199,16322,13284.57,1170,0
286,287,16047,7648.12,970,0
287,283,15980,7080.01,664,0
