"","model","y","x","alpha","beta","beta_error","pval","BIC","file","alpha_zero","beta_zero","beta_error_zero","pval_zero"
"48","Poisson","STOCKFDI","POPULATION",-5.01407332258978,1.12831735577441,0.000364609481557394,0,264575.871527004,"oliv305",NA,NA,NA,NA
"49","Poisson","FLUXFDI","POPULATION",-9.86302344879619,1.28168679970386,0.00144819782668097,0,73713.9804358167,"oliv305",NA,NA,NA,NA
"50","zeroInflatedHurdle","FLUXFDI","POPULATION",-8.80174910109878,1.21298973198627,0.00155761197163213,0,57382.0825333951,"oliv305",-20.5853426813128,1.86379734957238,0.212400855908769,1.710480789718e-18
"51","Poisson","JOBS","POPULATION",-1.07684263287017,1.01674117758517,0.000108028745005471,0,Inf,"oliv330",NA,NA,NA,NA
"52","Poisson","STOCKFDI","POPULATION",-4.9973404413567,1.12719076977019,0.000360799899961994,0,270205.133640258,"oliv330",NA,NA,NA,NA
"53","Poisson","FLUXFDI","POPULATION",-9.87211024650466,1.28228172490312,0.0014394194944952,0,74868.1511515576,"oliv330",NA,NA,NA,NA
"54","zeroInflatedHurdle","FLUXFDI","POPULATION",-8.7748250965345,1.21121241356125,0.00155387651165165,0,57999.1497666067,"oliv330",-19.5278903947484,1.76964798534184,0.193598989201398,6.19969225189668e-20
"55","Poisson","JOBS","POPULATION",-1.04211568748729,1.01433816289583,0.000106746934778071,0,Inf,"oliv355",NA,NA,NA,NA
"56","Poisson","STOCKFDI","POPULATION",-4.95904464870415,1.12460245222999,0.000357300783235432,0,282279.539412729,"oliv355",NA,NA,NA,NA
"57","Poisson","FLUXFDI","POPULATION",-9.86423261223803,1.28176043314599,0.00143122432832944,0,76117.5177150277,"oliv355",NA,NA,NA,NA
"58","zeroInflatedHurdle","FLUXFDI","POPULATION",-8.73400170519674,1.20851017969987,0.00155048904678417,0,58730.4080280776,"oliv355",-18.8338797644968,1.7071751221349,0.180075552156005,2.53487412853951e-21
